Stress,ECG_Rate_Mean,HRV_MeanNN,HRV_SDNN,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_Prc20NN,HRV_Prc80NN,HRV_pNN50,HRV_pNN20,HRV_MinNN,HRV_MaxNN,HRV_HTI,HRV_TINN,HRV_SD1,HRV_SD2,HRV_SD1SD2,HRV_S,HRV_CSI,HRV_CVI,HRV_CSI_Modified,HRV_PIP,HRV_IALS,HRV_PSS,HRV_PAS,HRV_GI,HRV_SI,HRV_AI,HRV_PI,HRV_C1d,HRV_C1a,HRV_SD1d,HRV_SD1a,HRV_C2d,HRV_C2a,HRV_SD2d,HRV_SD2a,HRV_Cd,HRV_Ca,HRV_SDNNd,HRV_SDNNa,HRV_DFA_alpha1,HRV_MFDFA_alpha1_Width,HRV_MFDFA_alpha1_Peak,HRV_MFDFA_alpha1_Mean,HRV_MFDFA_alpha1_Max,HRV_MFDFA_alpha1_Delta,HRV_MFDFA_alpha1_Asymmetry,HRV_MFDFA_alpha1_Fluctuation,HRV_MFDFA_alpha1_Increment,HRV_ApEn,HRV_ShanEn,HRV_FuzzyEn,HRV_CMSEn,HRV_RCMSEn,HRV_CD,HRV_HFD,HRV_KFD,HRV_LZC
0,110.05718190576248,70.83333333333333,2.400864624129446,1.0902656764674465,1.099214655659328,0.033894559399474535,0.015391986020716893,70.0,1.4826,0.021179999999999997,2.0,69.0,72.0,0.0,0.0,66.0,77.0,1.8,0.0,0.7772621369963466,3.2591837420942533,0.23848368134559403,7.958408551537251,4.19315902185722,1.6077963402137063,54.66510284821157,0.6851851851851852,0.7297297297297297,0.8888888888888888,0.3076923076923077,53.333333333333336,53.505766977410275,53.165992855028676,45.94594594594595,0.5079365079365079,0.4920634920634922,0.554700196225229,0.5459642140991688,0.54551536342104,0.45448463657896004,2.407200906893847,2.1971942241369864,0.5434879304610173,0.4565120695389828,1.7467553511930152,1.6008965272087163,1.586603343108839,0.7031730077823768,1.7451019932754883,1.3935154893843,1.3169973003332984,0.15314949287434754,-1.0,0.0009092539986150491,0.06216628123657632,0.6745152976013045,2.8170925164419685,0.887351479998801,0.6411448183747266,0.6942492977582603,1.7410476562833004,1.461849017949782,1.5499721391922392,0.9591479170272448
0,110.04613390794968,70.98148148148148,1.9473323866712884,1.3031167282892082,1.3067314834392416,0.027434372262000933,0.018358545089386183,71.0,1.4826,0.02088169014084507,2.0,70.0,72.4,0.0,0.0,66.0,76.0,1.6875,0.0,0.9239986931298444,2.4917134072598963,0.3708286396170872,7.233014216319048,2.6966633457237474,1.566289428655319,26.87724885362476,0.6851851851851852,0.7142857142857143,0.88,0.3333333333333333,57.99999999999999,57.89724311650761,58.10690146386158,42.857142857142854,0.6111111111111112,0.38888888888888895,0.7272180923534244,0.5801193511153213,0.540288548798467,0.4597114512015331,1.8315170691229152,1.6894321322356003,0.548952470172885,0.45104752982711505,1.3934311838649849,1.2630754908097515,1.4654261019289512,0.49841639589390563,1.6912648814482807,1.442056683501328,1.4576559031043264,0.44110682110409805,-1.0,0.00035507691425898705,0.027805258528833487,0.5245348437071273,2.788895414259689,1.1695534629962052,0.823607070434884,1.1078759901873598,1.981052098158195,1.6376183160801665,1.8572636504239828,0.8525759262464397
0,107.83995810142049,72.22641509433963,2.2756360854965223,1.1766968108291043,1.1856354934711522,0.03150697819522353,0.01629177925129115,72.0,1.4826,0.020591666666666664,2.0,70.0,74.0,0.0,0.0,70.0,79.0,1.358974358974359,0.0,0.8383708974489101,3.110217676784603,0.26955376908398015,8.191753062428617,3.709834974292077,1.620346962133461,46.153577259987884,0.6415094339622641,0.8214285714285714,1.0,0.5555555555555556,44.73684210526317,44.721315869148484,44.757307434388025,53.57142857142857,0.4305555555555557,0.5694444444444443,0.5512908203729234,0.6340037731068525,0.5246100473160582,0.475389952683942,2.2527297128300092,2.1444493087774843,0.5182135491479384,0.48178645085206145,1.639925719002941,1.5812374303421284,1.2919171693444693,0.8972484025235259,1.5140717754170376,1.0664880495034446,1.448471113537816,0.11378632481842477,-0.9988403709103928,0.0006540360825995193,0.07642705758439458,0.5128392688072814,2.6789485553759813,0.8183022335474645,0.8036253174355594,0.9463264109498867,1.563803812329223,1.491395044096692,2.05462691664118,0.5403698542040754
0,111.99634029709881,69.58181818181818,1.6408095234535578,1.0886621079036347,1.0963378464938565,0.02358100961325991,0.015645784148079413,70.0,1.4826,0.021179999999999997,2.5,68.0,71.0,0.0,0.0,66.0,72.0,1.4102564102564104,0.0,0.7752279257272621,2.173630158120444,0.35665125588688373,5.293768343107594,2.80385946633863,1.4307350424859913,24.378213980660558,0.7818181818181819,0.911764705882353,1.0,0.75,45.45454545454546,45.50628264175074,45.40308466517747,50.0,0.40624999999999994,0.5937499999999999,0.49526055654364853,0.5987408170800916,0.5371246856973821,0.46287531430261797,1.5930272593576682,1.4788279870336851,0.5222950819672132,0.47770491803278675,1.1796225811513885,1.1281451106289113,1.4188670280208828,0.7780169136149389,0.6524568728287514,1.0414653296362208,1.023213516845615,-1.1231425064594949,0.0,0.00032953443432138575,0.04768492227333673,0.6731387691065738,2.6343821714911786,1.0894602566265557,0.8175732289908906,0.8916181025535956,2.0178227511027194,1.499325120710483,1.9979345825718506,0.8409250492399505
0,105.0958771561301,74.41176470588235,2.892586873981387,1.6852299546352716,1.6849877368899122,0.038872708978405994,0.022647359074149897,74.0,2.9652,0.04007027027027027,3.0,72.0,76.0,0.0,0.0,68.0,81.0,1.2142857142857142,0.0,1.1914662549710309,3.76167570128429,0.3167381639422684,14.080334462615104,3.1571819055637045,1.85558308107065,47.505177834773676,0.5686274509803921,0.5853658536585367,0.7916666666666666,0.25,59.09090909090908,59.241447216033194,58.949894699288485,36.58536585365854,0.5704225352112676,0.4295774647887324,0.9091372900969895,0.7889543583705185,0.7339627322026078,0.26603726779739234,3.2226886987389256,1.940227211605141,0.7187717829295096,0.28122821707049034,2.367726025242837,1.4810352143424708,1.3667720411118132,0.5909528428959221,0.7758191982158911,1.0712956196638521,1.0104880753605883,-0.7625085113673056,0.0,0.0004489659999126608,0.03599041818478119,0.4471706968869946,3.202083441591458,1.0830770198239312,0.799628961353333,0.7900088312113168,1.7758503037407052,1.6247542121599758,1.7103103520671992,1.1122402631316657
0,108.2923426299017,71.9245283018868,2.2433582021652407,1.0561177090573832,1.0550460520497205,0.031190447196945897,0.014683693226663512,72.0,1.4826,0.020591666666666664,2.0,70.0,73.0,0.0,0.0,69.0,80.0,1.358974358974359,0.0,0.7460302178684525,2.8987436816881025,0.2573632924432963,6.79385238806541,3.8855580005463506,1.5390862165604031,45.052946815665564,0.6415094339622641,0.6764705882352942,0.9130434782608695,0.3333333333333333,40.47619047619049,40.9464301026815,39.98349621286361,58.82352941176471,0.396551724137931,0.6034482758620688,0.474858079933817,0.585779186129006,0.2542907639838172,0.7457092360161827,1.4617567511828797,2.50319438567962,0.26330764057731104,0.7366923594226888,1.0867895370556249,1.8178447936223723,1.5337780541193218,0.353208343211004,1.6748729583647322,1.4982687867592301,1.3284675822448317,0.05698150466419971,-1.0,2.168081562026001e-05,0.006392273548514979,0.5488640679888852,2.8690757415907733,0.9675437176294517,0.0,0.0,1.8073094569476351,1.4973826118344196,1.5130346766795209,0.7565177958857056
0,110.77832134201485,70.38181818181818,1.459209693393286,0.7576767609436587,0.7627325916002987,0.020732764953921658,0.01076523426812225,70.0,1.4826,0.021179999999999997,2.0,69.0,72.0,0.0,0.0,68.0,73.0,1.71875,0.0,0.5393333877525607,1.9902364758764612,0.27098960062775895,3.3721886361499704,3.690178507527438,1.2348819705015721,29.37731147270587,0.6727272727272727,0.7419354838709677,0.9565217391304348,0.23076923076923078,45.16129032258067,45.17552290951009,45.14797064713037,54.83870967741935,0.45161290322580655,0.5483870967741935,0.3634218921558155,0.4004714203168136,0.4902662001303557,0.5097337998696442,1.3935439111657844,1.4209421513777125,0.48760855775066975,0.5123914422493303,1.0183418149239833,1.0438998888908093,1.4049057935722005,0.6909398959866362,0.8781218011857632,1.2235917491790813,1.3361540077903928,-0.22396808989921801,0.0,0.00013873357142769494,0.03114298532933273,0.7101868834305334,2.4714701010328257,0.968646641478464,0.7284122931595064,0.7010740372504959,2.065758608051202,1.5273958718344913,2.054809726634984,0.8409250492399505
0,111.69837731912081,69.83636363636364,1.166883096807971,0.9128709291752769,0.9212530584827394,0.0167088181006088,0.01307157019126275,70.0,1.4826,0.021179999999999997,1.5,69.0,71.0,0.0,0.0,68.0,72.0,1.3414634146341464,0.0,0.651424284841992,1.5073196670303062,0.43217394365019884,3.084744391371305,2.3138831359287106,1.196189293236697,13.95104623198042,0.6727272727272727,0.8888888888888888,1.0,0.36363636363636365,48.484848484848484,48.44969713687465,48.519584550180674,55.55555555555556,0.5333333333333334,0.4666666666666666,0.47583095143088644,0.44509909856926216,0.44876970396001525,0.5512302960399846,1.0097576007632185,1.119107754560418,0.46208292840945897,0.537917071590541,0.7893115692293867,0.8516206238297751,1.0593632977448009,0.2994877993226066,1.1340136657149242,0.9842697660536209,1.14528461628983,0.03240077219497506,-1.0,7.764253884911302e-05,0.00837850559964979,0.8320285985313309,2.1727189653740036,1.133319413230153,0.7401596791409476,0.7052987543683668,2.0044915389927476,1.5870338900768488,2.507078242481002,0.8409250492399505
0,110.75810832497655,70.5,1.8908917732417176,0.9905211130872972,0.9934473265911864,0.026821159904137838,0.014049944866486485,71.0,1.4826,0.02088169014084507,1.75,69.0,72.0,0.0,0.0,66.0,74.0,1.8620689655172413,0.0,0.7024733413842746,2.53623951655617,0.27697436965185657,5.597189170295952,3.6104423714618497,1.4549400951296132,36.62778645900125,0.6481481481481481,0.78125,0.88,0.5555555555555556,57.89473684210527,57.80768732471222,57.9826352213652,40.625,0.5384615384615385,0.4615384615384617,0.5188745216627707,0.4803844614152613,0.5465663527688848,0.453433647231115,1.8750450697908625,1.707839826094371,0.5459818016270697,0.45401819837293045,1.3756861529756323,1.2544891594516236,1.2306039260415584,0.48692336302665584,0.7436805630149026,0.9871422445282305,0.9673939294630367,-0.7625963792856183,0.0,0.00057801959817124,0.037472820862166245,0.5506120394727971,2.821668819275531,0.9003142177152531,1.104411602222708,1.048359108142064,1.8044709201872766,1.5193422479155894,1.8688429777377413,1.0657199078080497
0,105.97727871430504,73.57692307692308,1.3626121662217188,0.8856148855400953,0.8944271909999159,0.01851955897635373,0.012036584957680332,74.0,1.4826,0.020035135135135135,1.0,73.0,74.0,0.0,0.0,70.0,77.0,1.0612244897959184,0.0,0.6324555320336758,1.8385842805981853,0.3439905032952341,3.653115563941579,2.9070569984361967,1.269633521015285,21.37947720051094,0.5384615384615384,0.7727272727272727,0.8823529411764706,0.3,50.00000000000002,50.00132895633996,49.998679744176385,40.909090909090914,0.4,0.6000000000000001,0.39999999999999997,0.48989794855663554,0.5888585596651655,0.41114144033483463,1.4108766269924589,1.178905976008743,0.5688756000325441,0.43112439996745583,1.0369601864569387,0.9027234627141157,1.225392035324823,1.5281650031469503,0.018370041991901065,0.7824525435653762,1.7410049839167643,-0.4724367737707835,0.0,0.000780102504731001,0.1590890378237018,0.6267039471164573,2.229300876239463,0.8749810259855295,0.8431912558623506,0.7490537972313039,1.3407410778793685,1.5550859524514362,1.9798554697102273,0.8769907258678603
